id,First_name,Last_name,Email,Gender,Part_time_job,Absence_days,Extracurricular_activities,Weekly_self_study_hours,CCSIT205_Grade,PROFELECTIVE 1_Grade,GE ELECT103_Grade,CCSIT 207_Grade,CCSIT 206_Grade,PROFELECTIVE2_Grade,CCSIT 208_Grade
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,FALSE,3,FALSE,27,73,81,93,97,63,80,87
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,FALSE,2,FALSE,47,90,86,96,100,90,88,90
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,FALSE,9,TRUE,13,81,97,95,96,65,77,94
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,FALSE,5,FALSE,3,71,74,88,80,89,63,86
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,FALSE,5,FALSE,10,84,77,65,65,80,74,76
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,FALSE,2,FALSE,26,93,100,67,78,72,80,84
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,FALSE,3,TRUE,23,99,96,97,73,88,76,64
8,George,Short,george.short.8@gslingacademy.com,male,TRUE,2,TRUE,34,95,95,82,63,84,70,85
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,FALSE,6,FALSE,25,94,68,94,85,81,74,72
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,FALSE,3,TRUE,18,98,69,88,71,67,71,73
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,FALSE,2,FALSE,7,65,60,97,94,71,81,66
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,FALSE,1,FALSE,7,80,61,100,65,87,64,61
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,TRUE,7,FALSE,4,94,59,69,67,89,65,73
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,FALSE,10,FALSE,2,66,94,86,100,57,90,63
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,FALSE,3,FALSE,39,96,90,86,92,92,95,87
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,FALSE,6,FALSE,0,94,50,78,64,79,74,84
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,FALSE,3,TRUE,30,92,64,93,91,80,89,72
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,FALSE,2,TRUE,28,86,83,85,79,93,76,77
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,FALSE,1,FALSE,37,92,87,92,99,97,87,86
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,FALSE,2,FALSE,27,99,65,98,75,66,72,100
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,TRUE,3,FALSE,15,100,90,72,98,73,97,72
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,FALSE,8,FALSE,4,57,55,78,94,83,88,88
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,FALSE,9,FALSE,2,89,72,68,72,71,54,90
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,FALSE,9,FALSE,1,50,76,81,55,56,80,79
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,FALSE,4,FALSE,35,87,91,90,88,95,88,93
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,FALSE,5,FALSE,22,92,86,87,81,93,90,99
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,FALSE,3,FALSE,34,100,77,80,94,63,90,90
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,FALSE,0,FALSE,23,64,75,93,79,81,96,85
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,FALSE,1,TRUE,17,79,65,99,71,76,77,83
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,FALSE,3,FALSE,19,82,100,61,97,30,74,73
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,FALSE,0,FALSE,14,88,69,87,100,88,85,72
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,FALSE,4,FALSE,30,70,68,92,74,82,85,72
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,FALSE,4,FALSE,30,77,96,98,89,85,62,62
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,FALSE,1,FALSE,24,99,84,84,78,78,77,68
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,FALSE,3,TRUE,31,90,93,91,80,86,69,62
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,FALSE,1,FALSE,21,65,70,78,98,80,66,65
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,FALSE,2,TRUE,19,99,94,87,71,89,91,96
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,FALSE,1,FALSE,29,92,100,85,89,81,91,88
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,FALSE,4,FALSE,21,77,64,64,88,94,82,78
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,FALSE,4,FALSE,18,92,60,66,87,60,83,95
